Date,Close,High,Low,Open,Volume
2014-09-12,68.0786,69.27,68.0171,69.0929,13432153
2014-09-15,65.3929,68.22,65.2643,68.22,20616771
2014-09-16,65.2729,65.4486,63.6571,64.0571,26844013
2014-09-17,64.9329,65.5522,64.47,65.2562,12135655
2014-09-18,65.5729,65.9086,64.76,65.3529,10631341
2014-09-19,65.36,65.9043,64.8814,65.83,11962755
2014-09-22,63.2543,65.2786,62.6972,65.21,16176874
2014-09-23,63.4143,64.0014,62.9286,63.0329,11474295
2014-09-24,64.3657,64.5229,63.22,63.5343,9556603
2014-09-25,63.3557,64.6214,63.2029,64.2714,9853270
2014-09-26,64.1071,64.3771,63.4129,63.5714,10404695
2014-09-29,64.2229,64.3629,63.1457,63.3643,9517529
2014-09-30,64.4543,65.3128,64.2571,64.6143,12478207
2014-10-01,62.6857,64.2857,62.47,64.0714,15421658
2014-10-02,64.2829,64.3557,62.5543,62.7043,18453435
2014-10-03,65.6486,65.8,64.6443,64.7414,15292396
2014-10-06,66.2114,66.7443,65.8571,65.9571,13711348
2014-10-07,65.1786,66.6114,65.1429,65.8714,13760117
2014-10-08,66.6943,66.8,64.4835,65.2186,14344064
2014-10-09,65.9457,66.8557,65.6514,66.6614,14933275
2014-10-10,64.5829,66.4057,64.4914,65.6857,19122845
2014-10-13,62.6543,64.6386,61.8571,64.4643,20231323
2014-10-14,64.16,64.57,62.59,63.6443,16759701
2014-10-15,64.0843,64.4257,61.4543,63.4957,59927574
2014-10-16,51.6714,52.31,47.2857,47.5329,92304996
2014-10-17,51.0129,51.4386,48.7857,51.4014,79185463
2014-10-20,51.3171,52.7414,50.7932,50.8571,33538421
2014-10-21,52.2843,52.3986,50.7771,51.7514,19392527
2014-10-22,53.5214,54.5686,51.8857,52.7071,32175689
2014-10-23,54.72,55.11,54.0357,54.36,19926837
2014-10-24,55.0029,55.2857,54.4014,54.7129,14662830
2014-10-27,54.2,54.9286,53.8143,54.8429,14951363
2014-10-28,55.1743,55.2671,54.05,54.2843,11750844
2014-10-29,54.0143,55.2396,53.9671,55.2157,12560058
2014-10-30,54.1443,54.62,53.5143,53.9371,10593681
2014-10-31,56.11,56.2529,54.8571,54.9214,20486739
